id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
c0dge,3,5,61,5,9,3
u0w7z,3,2,13,12,1,95
r51ws,1,1,67,1,1,64
levt9,12,1,16,1,1,57
l6mgh,8,15,70,9,20,42
wr857,12,28,95,3,28,41
ciayo,11,9,89,3,28,31
sq09g,3,27,87,12,1,57
fvbsb,9,28,54,12,29,89
c3uji,11,14,94,11,23,70
nxjna,9,3,18,1,22,80
zm0c4,9,11,18,3,26,62
tj0fe,12,10,99,11,24,83
t58j8,3,1,52,12,1,82
s3j29,5,31,82,3,14,32
ukpkb,5,1,52,12,1,50
n7ugs,5,3,85,11,21,8
d242m,5,1,71,9,1,12
v71q2,12,29,15,5,31,60
l9bvy,9,8,99,9,30,20
n5rmh,3,14,27,3,9,57
jop34,11,26,63,12,12,62
esy0w,3,28,85,11,27,93
y1cqy,5,1,86,3,19,59
us1l8,11,1,62,12,1,41
qe20c,11,8,66,11,7,8
ki7y2,5,1,84,5,23,38
v4a4z,3,22,68,3,11,79
oikov,12,20,79,11,20,83
ljkt0,8,5,65,11,2,97
lpge4,10,26,62,2,28,23
frcna,11,27,52,11,16,25
che7n,6,25,34,10,13,91
ogx9r,3,1,58,9,1,67
xgrw5,11,26,26,3,26,22
bfubs,3,2,52,11,8,52
wapr9,9,21,65,9,4,52
vgiuf,1,1,64,1,1,92
hcriy,1,1,28,1,1,34
qdah4,12,8,78,12,9,79
etkvx,5,18,13,11,25,20
tpgn5,5,4,25,9,25,48
szm6g,5,1,68,11,1,89
jgadl,11,10,82,12,8,31
bbncb,11,26,74,11,13,92
zut2q,3,28,11,12,25,15
l5rje,5,27,27,11,12,70
xrns8,9,1,34,12,1,41
rbme2,10,24,19,3,21,23
ute2e,11,1,78,12,1,17
t19sx,11,2,88,3,8,20
faxfp,3,1,63,11,1,85
js127,7,29,52,4,16,3
m1cyg,12,1,88,3,1,36
m85lc,5,22,15,8,28,10
b6m4c,11,18,81,5,26,81
ojoeq,12,29,42,3,21,88
e7gpc,12,15,24,12,15,35
txpss,3,31,6,5,13,93
rx080,12,19,9,3,21,77
x4cep,11,7,95,12,28,77
tf44v,3,24,45,12,30,96
jr4u8,11,1,70,1,1,64
z3mxe,3,13,55,12,8,14
kbd9e,11,15,94,3,31,31
ihyge,11,29,26,11,20,2
xz8ex,5,1,39,12,1,52
jt88u,12,7,31,3,16,78
b5hvg,12,1,96,3,1,47
ma1ua,8,10,9,8,10,96
u35ob,10,12,98,10,11,21
ekvbn,3,5,97,3,11,17
mhwh2,11,28,14,12,7,26
dkej8,3,25,66,12,20,11
r2vhn,5,28,30,3,31,98
mq9l3,1,1,21,1,1,36
ikf1d,12,1,88,12,1,21
f17fv,3,14,3,11,20,42
ofqqc,8,12,72,1,19,38
rgt4j,11,12,26,12,19,57
y4gao,9,1,41,3,1,65
labkv,9,1,61,9,17,67
e8wyz,11,13,68,3,19,6
vsamg,3,25,51,5,29,10
qu1pu,11,3,35,5,21,11
swa00,1,28,38,3,9,97
c8o8j,11,28,71,11,20,42
io1rm,3,6,59,12,10,76
tuqd4,11,7,70,12,6,18
v1fhu,3,1,95,3,26,90
lqdm9,2,4,87,10,18,57
ukl36,5,8,56,3,10,32
vgn44,11,8,21,12,11,24
ko1li,12,5,47,12,10,44
x8x2i,11,1,49,11,1,21
haazk,11,15,14,11,18,86
gsz1g,5,1,64,5,1,38
ruwu1,3,21,27,9,17,28
qmlld,1,1,9,1,1,59
dbv9e,3,9,40,5,5,9
vjaie,12,5,96,3,30,25
f9j7y,8,15,26,5,31,47
ulld7,11,18,92,12,9,67
a20a9,10,31,88,6,4,3
uixua,7,15,31,8,29,42
uofgj,5,1,16,3,1,81
uaz0x,4,15,57,5,21,57
rqhwz,11,18,53,11,31,41
mhk4y,1,1,95,1,1,96
srlhh,3,1,69,3,1,62
h5ru9,12,31,79,5,16,66
uzxim,5,1,39,5,1,90
ocsjp,7,2,16,5,9,38
lpbsy,12,31,87,12,4,12
n2hot,1,1,25,1,1,65
o3cr2,3,1,62,1,31,29
abadl,3,13,29,9,15,16
denk1,3,1,34,3,1,83
gn9fg,2,16,78,7,17,83
c2fnw,3,1,17,5,1,14
l6hja,11,1,83,3,1,81
roiki,11,24,16,12,26,36
r9tsq,1,1,32,1,1,73
mvmfk,3,24,19,3,11,49
wljf5,6,2,74,11,15,75
opq64,3,29,54,3,3,89
ci9pr,12,2,98,1,3,67
t777g,10,28,51,8,31,74
oclkx,3,14,11,12,23,64
qfi2v,5,1,13,11,1,47
o2679,1,1,78,8,1,52
oytx0,11,1,5,5,15,58
c5vup,3,9,92,3,9,22
o3mmw,5,4,56,11,3,30
uwma0,5,23,46,9,5,76
hdedz,2,15,5,10,31,88
p1sdc,12,4,23,12,27,53
au4zt,11,24,91,11,8,46
js0he,3,16,93,11,27,57
lmfj5,11,1,64,11,1,57
zrq0k,12,1,56,11,1,14
fzsun,12,20,48,3,10,92
h79eh,12,1,84,3,10,94
k0t1l,5,1,85,3,1,67
zxf8y,10,21,59,7,24,55
wxe6j,3,6,96,12,4,66
aer8p,12,15,72,12,29,1
ga6xx,12,17,38,9,22,39
vuczf,7,6,74,4,19,80
bhvsi,1,1,35,1,1,75
wchb9,1,1,39,1,1,49
hcznk,12,30,37,3,29,64
xab92,11,29,48,5,10,45
hku6l,10,2,52,2,30,48
l8sq6,1,11,57,3,20,45
rqcf0,3,1,70,3,1,75
dw5hs,8,23,27,8,17,41
on82i,1,1,74,1,1,12
n0zop,8,3,12,3,7,13
uindw,3,23,15,5,9,48
zsv8n,1,1,11,9,1,27
renmr,10,15,93,1,31,21
k49w2,12,1,46,9,1,98
kkn5n,9,3,55,3,13,27
kn622,4,6,69,7,4,31
v0xtz,12,30,73,8,7,33
ibc5d,2,19,80,7,3,23
exl0r,11,31,50,12,17,78
ikz92,12,28,84,12,12,18
ai59j,3,23,74,11,7,1
cx0w9,3,20,85,12,25,12
cjh5c,5,6,7,11,26,3
ub64e,11,22,64,3,26,12
s3z6n,2,4,83,10,12,20
slmx7,12,11,18,12,10,23
m7mco,4,27,65,6,20,25
sqa9g,4,11,70,10,16,79
eunzx,12,20,75,11,1,5
x6ckm,3,28,20,12,7,78
n6ns2,3,26,7,9,5,65
y7jx6,11,6,70,11,29,75
dj7oh,12,14,76,12,8,25
m2no0,3,9,84,3,8,45
shjz3,2,5,27,6,12,38
mg9bw,1,1,52,1,1,15
lpf2a,9,30,11,5,27,75
ekoyi,5,1,15,12,1,57
jb1cq,12,1,88,5,1,60
gywdv,11,1,58,11,16,60
habiz,12,12,86,12,13,78
rh3eq,5,17,2,12,18,24
qrunf,11,24,98,3,31,32
p0xx7,12,21,64,11,29,16
j5zpa,11,1,43,12,1,4
yhlk8,1,1,48,1,1,26
ccyrl,11,27,12,11,10,72
i0v4f,3,21,6,11,4,74
dj75o,1,1,90,1,1,12
iogcc,11,1,98,11,1,17
zabnx,12,1,17,9,3,23
jxyxx,3,28,89,3,1,51
xnlp2,3,12,41,3,17,56
mt4lv,6,20,22,4,30,26
sxwdg,3,11,81,12,15,30
lw4rd,10,13,25,10,3,42
g523p,4,17,45,2,25,8
txdac,12,16,64,12,12,76
zp9bu,4,10,53,6,10,36
g1pb7,1,3,53,1,24,19
u6q44,1,1,80,1,1,44
gx4z1,1,1,63,1,1,28
sddf8,2,23,17,8,9,81
uowuo,6,31,6,6,15,92
lz18c,1,1,62,1,1,11
tmgty,4,27,54,4,7,63
hgwbs,12,27,21,3,13,35
c9y28,7,18,77,6,17,93
csevm,3,13,24,3,18,24
l8ks7,5,17,22,12,24,57
x0g5n,3,9,72,11,25,69
dz69y,11,22,5,12,11,13
l0b88,11,12,97,5,6,30
shc8s,1,12,31,8,15,48
