id,action_sequence,first_action_rb,ai_assistance
a00n6,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4491-979-1042-104-13853-102-642-1433-709-1076-621-114-4507-905-694-107-992-4350-104-609-1433-709-25824-613-114-4507-905-102-603-822-604-603-1433-610-107-992-4350-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4491-979-1042,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a1dmw,4347-105-1042-105-20022-977-735-4491-105-907-105-21040-1071,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a1yt0,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-110-906-4615-104-13853-102-642-1433-709-1076-621-775-4491-867-694-110-114-4766-104-609-1433-709-25824-613-775-4491-867-102-603-822-604-603-1433-610-110-114-4766-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-110-906-4615,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a1z5k,685-2207-8615-105-1126-105-4347-694-760-1593-8615-105-1353-105-867,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a2bm9,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4491-906-4150-104-13853-102-642-1433-709-1076-621-113-992-4306-694-110-115-4519-104-609-1433-709-25824-613-113-992-4306-102-603-822-604-603-1433-610-110-115-4519-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4491-906-4150,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a2h4x,1076-658-3316-12516-1143-105-1243-105-4385-822-685-2207-8615-105-1244-105-1265,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a2mtr,907-105-775-105-21355-1080-735-1353-105-4129-105-17980-995,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a31d4,685-1464-105-929-105-2408-694-685-2207-8615-105-1072-105-2581,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a36gx,109-105-905-105-21040-1059-735-929-105-867-105-20022-975,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a3a8q,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4004-114-2736-104-13853-102-642-1433-709-1076-621-929-989-2088-694-112-1127-4706-104-609-1433-709-25824-613-929-989-2088-102-603-822-604-603-1433-610-112-1127-4706-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4004-114-2736,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a3keq,26738-613-4004-4275-2640-117-603-2137-8355-610-4729-701-605-4729-1777-104,['4729'],G=G191|TAG=RB4|P=HIGH|COUNT=1|REP=a3keq|A=4729|ABA=0|Buniq=0
a3nyl,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-867-907-4103-104-13853-102-642-1433-709-1076-621-867-1159-4766-694-113-113-110-104-609-1433-709-25824-613-867-1159-4766-102-603-822-604-603-1433-610-113-113-110-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-867-907-4103,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a3o25,1076-658-3316-164-889-105-979-105-4425-822-164-17762-2613-105-979-105-4129,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a3ygp,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-4037-112-1159-104-13853-102-642-1433-709-1076-621-4507-979-4150-694-110-113-3362-104-609-1433-709-25824-613-4507-979-4150-102-603-822-604-603-1433-610-110-113-3362-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-4037-112-1159,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a41ch,1076-658-3316-760-1593-8615-105-1265-105-4787-822-12516-5451-4521-2669-105-1455-105-1265,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a44bf,2791-10140-3133-613-164-4154-683-114-4731-117-603-659-14548-610-883-611-4691-701-605-4691-1777-104,['4691'],G=G227|TAG=RB4|P=HIGH|COUNT=2|REP=ole78|A=4691|ABA=0|Buniq=0
a47kv,685-2207-8615-105-907-105-21355-995-103-760-1593-8615-105-4275-105-910,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a49jy,1338-4347-112-4581-117-8355-610-1351-701-102-1351-1104-1777-104,['1351'],G=G103|TAG=RB4|P=HIGH|COUNT=4|REP=or4u3|A=1351|ABA=0|Buniq=0
a4p9d,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-113-113-3835-104-13853-102-642-1433-709-1076-621-4425-1042-4507-694-110-1012-907-104-609-1433-709-25824-613-4425-1042-4507-102-603-822-604-603-1433-610-110-1012-907-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-113-113-3835,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a4vwt,867-105-4275-105-15881-1059-735-929-105-4187-105-21040-1027,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a58gn,909-13308-12368-102-603-1009-3752-22631-1736-709-629-927-606-113-112-929-104-13853-102-642-1433-709-1076-621-4004-1012-4311-694-113-1012-2578-104-609-1433-709-25824-613-4004-1012-4311-102-603-822-604-603-1433-610-113-1012-2578-104-909-13308-12368-102-603-3752-7508-4498-1736-709-6532-606-113-112-929,['603'],G=G005|TAG=RB4|P=HIGH|COUNT=1166|REP=ldjdp|A=603|ABA=0|Buniq=0
a58ud,685-2207-8615-905-102-21606-1068-24438-697-1068-5289-836-1126-102-15881-1080,['1068'],G=G002|TAG=RB4|P=HIGH|COUNT=20|REP=zlj0d|A=1068|ABA=0|Buniq=0
a5a2d,929-105-4037-105-21355-1080-735-929-105-4037-105-910,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a5grx,7943-105-905-105-17980-1104-103-10477-697-105-4275-105-20022-1104,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
a5mzo,906-105-4004-105-15342-1027-735-1244-105-775-105-20022-977,['105'],G=G001|TAG=ANCHOR_LOOP|P=HIGH|COUNT=2165|REP=dpsmo|A=105|ABA=2|Buniq=1
